triple,both_id,men_id,women_id,months,max_abs_error_000s,status
ALL 16+ | Employed part time (persons who usually work less than 35 hours),LNU02600000,LNU02600001,LNU02600002,701,631.0,4 fail
ages=16 to 19 years | Civilian labor force,LNU01000012,LNU01000013,LNU01000014,941,2.0,OK
ages=16 to 17 years | Not in labor force,LNU05000086,LNU05000152,LNU05000317,600,2.0,OK
ages=18 to 19 years | Employed,LNU02000088,LNU02000154,LNU02000319,941,2.0,OK
ages=16 to 17 years | Unemployed,LNU03000086,LNU03000152,LNU03000317,941,2.0,OK
ages=16 to 17 years | Employed,LNU02000086,LNU02000152,LNU02000317,941,2.0,OK
ages=16 to 17 years | Civilian labor force,LNU01000086,LNU01000152,LNU01000317,941,2.0,OK
duration=Less than 5 weeks | Unemployed,LNU03008396,LNU03008432,LNU03008474,600,2.0,OK
look=Job losers and persons who completed temporary jobs | Unemployed,LNU03023621,LNU03023737,LNU03023741,600,2.0,OK
look=Quit job (job leavers) | Unemployed,LNU03023705,LNU03023738,LNU03023742,600,2.0,OK
wkst=At work | Employed,LNU02005053,LNU02005117,LNU02005149,600,2.0,OK
ALL 16+ | Not in labor force,LNU05000000,LNU05000001,LNU05000002,617,2.0,OK
ALL 16+ | Employed,LNU02000000,LNU02000001,LNU02000002,941,2.0,OK
ages=18 to 19 years | Civilian noninstitutional population,LNU00000088,LNU00000154,LNU00000319,941,2.0,OK
duration=15 weeks and over | Unemployed,LNU03008516,LNU03008552,LNU03008594,600,2.0,OK
ages=18 to 19 years | Unemployed,LNU03000088,LNU03000154,LNU03000319,941,2.0,OK
ages=20 years and over | Employed full time (persons who usually work 35 hours or more),LNU02500024,LNU02500025,LNU02500026,485,2.0,OK
ages=20 to 24 years | Unemployed looking for full-time work,LNU03100036,LNU03100037,LNU03100038,600,2.0,OK
ages=20 to 24 years | Not in labor force,LNU05000036,LNU05000037,LNU05000038,600,2.0,OK
ages=18 to 19 years | Not in labor force,LNU05000088,LNU05000154,LNU05000319,600,2.0,OK
ages=20 to 24 years | Unemployed,LNU03000036,LNU03000037,LNU03000038,941,2.0,OK
ages=20 to 24 years | Employed part time (persons who usually work less than 35 hours),LNU02600036,LNU02600037,LNU02600038,485,2.0,OK
ages=20 to 24 years | Employed full time (persons who usually work 35 hours or more),LNU02500036,LNU02500037,LNU02500038,485,2.0,OK
ages=20 to 24 years | Civilian labor force,LNU01000036,LNU01000037,LNU01000038,941,2.0,OK
ages=20 to 24 years | Civilian noninstitutional population,LNU00000036,LNU00000037,LNU00000038,941,2.0,OK
ages=20 years and over | Not in labor force,LNU05000024,LNU05000025,LNU05000026,600,2.0,OK
ages=20 years and over | Unemployed,LNU03000024,LNU03000025,LNU03000026,941,2.0,OK
ages=20 years and over | Employed part time (persons who usually work less than 35 hours),LNU02600024,LNU02600025,LNU02600026,485,2.0,OK
ages=20 to 24 years | Employed,LNU02000036,LNU02000037,LNU02000038,941,2.0,OK
ages=20 years and over | Employed,LNU02000024,LNU02000025,LNU02000026,941,2.0,OK
ages=25 years and over | Unemployed,LNU03000048,LNU03000049,LNU03000050,941,2.0,OK
ages=20 years and over | Civilian noninstitutional population,LNU00000024,LNU00000025,LNU00000026,941,2.0,OK
ages=20 to 24 years | Unemployed looking for part-time work,LNU03200036,LNU03200037,LNU03200038,600,2.0,OK
orig=Central or South American | Civilian noninstitutional population,LNU00092166,LNU00092167,LNU00092168,149,1.0,OK
"mjhs=Multiple job holders, hours vary on primary or secondary job | Employed",LNU02026634,LNU02026635,LNU02026636,389,1.0,OK
orig=Central or South American | Employed,LNU02092166,LNU02092167,LNU02092168,149,1.0,OK
"occupation=Production, transportation, and material moving occupations | Employed",LNU02032212,LNU02032494,LNU02032552,521,1.0,OK
occupation=Legal occupations | Employed,LNU02032459,LNU02032477,LNU02032535,317,1.0,OK
orig=Cuban | Civilian labor force,LNU01018242,LNU01022367,LNU01022370,281,1.0,OK
orig=Cuban | Employed,LNU02018242,LNU02022367,LNU02022370,281,1.0,OK
orig=Central or South American | Civilian labor force,LNU01092166,LNU01092167,LNU01092168,149,1.0,OK
occupation=Community and social service occupations | Employed,LNU02032458,LNU02032476,LNU02032534,317,1.0,OK
"occupation=Life, physical, and social science occupations | Employed",LNU02032457,LNU02032475,LNU02032533,317,1.0,OK
occupation=Architecture and engineering occupations | Employed,LNU02032456,LNU02032474,LNU02032532,317,1.0,OK
occupation=Computer and mathematical occupations | Employed,LNU02032455,LNU02032473,LNU02032531,317,1.0,OK
occupation=Professional and related occupations | Employed,LNU02032203,LNU02032472,LNU02032530,521,1.0,OK
occupation=Business and financial operations occupations | Employed,LNU02032454,LNU02032471,LNU02032529,317,1.0,OK
orig=Cuban | Unemployed,LNU03018242,LNU03022367,LNU03022370,281,1.0,OK
orig=Non-Hispanic | Employed,LNU02092169,LNU02092170,LNU02092171,125,1.0,OK
"occupation=Management, business, and financial operations occupations | Employed",LNU02032202,LNU02032469,LNU02032527,521,1.0,OK
"occupation=Management, professional and related occupations | Employed",LNU02032201,LNU02032468,LNU02032526,521,1.0,OK
orig=Cuban | Not in labor force,LNU05018242,LNU05022367,LNU05022370,281,1.0,OK
orig=Non-Hispanic | Unemployed,LNU03092169,LNU03092170,LNU03092171,125,1.0,OK
"mjhs=Multiple job holders, primary and secondary job both full time | Employed",LNU02026631,LNU02026632,LNU02026633,389,1.0,OK
orig=Non-Hispanic | Not in labor force,LNU05092169,LNU05092170,LNU05092171,125,1.0,OK
